,STATION,Day of Week,ENTRIES
627,63 DR-REGO PARK,4,14557.813559322034
628,63 DR-REGO PARK,5,7582.983050847458
629,63 DR-REGO PARK,6,6040.271186440678
630,65 ST,0,3289.9491525423728
631,65 ST,1,3503.4491525423728
632,65 ST,2,3515.9322033898306
633,65 ST,3,3524.3728813559323
634,65 ST,4,3512.7118644067796
635,65 ST,5,2018.0338983050847
636,65 ST,6,1617.677966101695
637,66 ST-LINCOLN,0,18015.396551724138
638,66 ST-LINCOLN,1,19701.293103448275
639,66 ST-LINCOLN,2,19871.01724137931
640,66 ST-LINCOLN,3,20014.344827586207
641,66 ST-LINCOLN,4,18840.58620689655
642,66 ST-LINCOLN,5,10955.689655172413
643,66 ST-LINCOLN,6,9246.198275862069
644,67 AV,0,7988.8983050847455
645,67 AV,1,8623.406779661016
646,67 AV,2,8878.372881355932
647,67 AV,3,8865.64406779661
648,67 AV,4,8251.084745762711
649,67 AV,5,3628.9576271186443
650,67 AV,6,2804.6101694915255
651,68ST-HUNTER CO,0,19310.793103448275
652,68ST-HUNTER CO,1,21602.96551724138
653,68ST-HUNTER CO,2,20953.83620689655
654,68ST-HUNTER CO,3,21903.206896551725
655,68ST-HUNTER CO,4,19069.603448275862
656,68ST-HUNTER CO,5,7092.775862068966
657,68ST-HUNTER CO,6,5326.879310344828
658,69 ST,0,4311.982758620689
659,69 ST,1,4436.275862068966
660,69 ST,2,4493.0
661,69 ST,3,4475.310344827586
662,69 ST,4,4507.206896551724
663,69 ST,5,3018.9137931034484
664,69 ST,6,2403.4310344827586
665,7 AV,0,33639.71186440678
666,7 AV,1,37326.813559322036
667,7 AV,2,37623.398305084746
668,7 AV,3,38213.52542372881
669,7 AV,4,36400.38983050847
670,7 AV,5,16903.86440677966
671,7 AV,6,13671.169491525423
672,71 ST,0,5320.5084745762715
673,71 ST,1,5531.830508474576
674,71 ST,2,5643.610169491525
675,71 ST,3,5524.593220338983
676,71 ST,4,5433.813559322034
677,71 ST,5,2946.5254237288136
678,71 ST,6,2439.0508474576272
679,72 ST,0,36314.19827586207
680,72 ST,1,39803.41379310345
681,72 ST,2,40358.49137931035
682,72 ST,3,40681.81034482759
683,72 ST,4,40001.08620689655
684,72 ST,5,27042.275862068964
685,72 ST,6,23832.620689655174
686,72 ST-2 AVE,0,25855.08620689655
687,72 ST-2 AVE,1,28685.741379310344
688,72 ST-2 AVE,2,29352.379310344826
689,72 ST-2 AVE,3,29268.603448275862
690,72 ST-2 AVE,4,27738.241379310344
691,72 ST-2 AVE,5,12832.896551724138
692,72 ST-2 AVE,6,9808.672413793103
693,74 ST-BROADWAY,0,2692.396551724138
694,74 ST-BROADWAY,1,2648.9827586206898
695,74 ST-BROADWAY,2,2673.655172413793
696,74 ST-BROADWAY,3,2637.0344827586205
697,74 ST-BROADWAY,4,2702.9310344827586
698,74 ST-BROADWAY,5,2400.603448275862
699,74 ST-BROADWAY,6,2020.0344827586207
700,75 AV,0,3155.4576271186443
701,75 AV,1,3442.9830508474574
702,75 AV,2,3473.813559322034
703,75 AV,3,3454.3728813559323
704,75 AV,4,3222.6271186440677
705,75 AV,5,1499.457627118644
706,75 AV,6,1175.084745762712
707,75 ST-ELDERTS,0,3083.3050847457625
708,75 ST-ELDERTS,1,3341.9661016949153
709,75 ST-ELDERTS,2,3456.322033898305
710,75 ST-ELDERTS,3,3403.3898305084745
711,75 ST-ELDERTS,4,3353.9406779661017
712,75 ST-ELDERTS,5,951.2372881355932
713,75 ST-ELDERTS,6,718.457627118644
714,77 ST,0,26259.42372881356
715,77 ST,1,28842.084745762713
716,77 ST,2,29233.949152542373
717,77 ST,3,29389.86440677966
